site,ido,keido,train,hour,minute,rinji
5,35.76586476,136.1402872,down4,8,23,
6,35.81812155,136.1610947,down4,8,21,
7,35.84958885,136.1775007,down4,8,20,
8,35.86416602,136.1882852,down4,8,19,
9,35.88516998,136.195938,down4,8,18,
10,35.89558136,136.1990239,down4,8,18,
11,35.90843921,136.20189,down4,8,18,
12,35.9223765,136.2070656,down4,8,17,
13,35.93421603,136.2145703,down4,8,17,
14,35.94846303,136.2176757,down4,8,16,
15,35.95411921,136.2170287,down4,8,16,
16,35.9687815,136.215476,down4,8,15,
17,36.00602189,136.2232084,down4,8,14,
18,36.01643618,136.2235517,down4,8,13,
19,36.03156916,136.2189168,down4,8,13,
20,36.04413021,136.2178633,down4,8,12,
21,36.05494258,136.2181561,down4,8,12,
22,36.06046657,136.2220607,down4,8,12,
23,36.06215635,136.2235144,down4,8,12,
24,36.06622689,136.2287961,down4,8,10,
25,36.07190789,136.2329936,down4,8,10,
26,36.08208533,136.2370934,down4,8,10,
27,36.09186705,136.244024,down4,8,9,
28,36.10259398,136.2450978,down4,8,9,
29,36.10961302,136.2446097,down4,8,9,
30,36.11978558,136.2442193,down4,8,8,
31,36.12554155,136.2450002,down4,8,8,
32,36.1353967,136.2489048,down4,8,8,
33,36.15037415,136.2528094,down4,8,7,
34,36.16314214,136.250369,down4,8,7,
35,36.17858705,136.2451954,down4,8,6,
36,36.1894597,136.2416813,down4,8,6,
37,36.20513572,136.2361172,down4,8,5,
38,36.21466584,136.2348483,down4,8,5,
39,36.22513975,136.235922,down4,8,5,
40,36.25497877,136.252907,down4,8,4,
41,36.2996766,136.3170399,down4,8,1,
42,36.31713957,136.3385152,down4,8,0,
43,36.32083619,136.3508146,down4,8,0,
44,36.32382481,136.3657497,down4,8,0,
45,36.32421804,136.3843941,down4,7,59,
46,36.32799296,136.4002077,down4,7,59,
47,36.33860895,136.4188521,down4,7,58,
48,36.35228964,136.4327134,down4,7,58,
49,36.37147,136.4419868,down4,7,57,
50,36.38349462,136.4493079,down4,7,56,
51,36.39944599,136.4526268,down4,7,56,
52,36.40281336,136.4527486,down4,7,56,
53,36.41610106,136.4543839,down4,7,55,
54,36.42968959,136.4625835,down4,7,55,
55,36.44429656,136.4800566,down4,7,54,
56,36.46643737,136.493625,down4,7,53,
57,36.4834705,136.5069983,down4,7,53,
58,36.50842473,136.5352089,down4,7,51,
59,36.5253142,136.5629901,down4,7,50,
60,36.53535544,136.5850922,down4,7,50,
61,36.55283912,136.6205407,down4,7,49,
62,36.56697342,136.6395826,down4,7,48,
63,36.57823804,136.6475734,down4,7,48,
1,35.64539102,136.0768759,down5,8,59,
2,35.65929747,136.0950707,down5,8,58,
3,35.68497762,136.1070751,down5,8,56,
4,35.70317626,136.1146778,down5,8,56,
5,35.76586476,136.1402872,down5,8,53,
6,35.81812155,136.1610947,down5,8,50,
7,35.84958885,136.1775007,down5,8,49,
8,35.86416602,136.1882852,down5,8,48,
9,35.88516998,136.195938,down5,8,47,
10,35.89558136,136.1990239,down5,8,47,
11,35.90843921,136.20189,down5,8,45,
12,35.9223765,136.2070656,down5,8,44,
13,35.93421603,136.2145703,down5,8,44,
14,35.94846303,136.2176757,down5,8,43,
15,35.95411921,136.2170287,down5,8,43,
16,35.9687815,136.215476,down5,8,42,
17,36.00602189,136.2232084,down5,8,40,
18,36.01643618,136.2235517,down5,8,40,
19,36.03156916,136.2189168,down5,8,39,
20,36.04413021,136.2178633,down5,8,38,
21,36.05494258,136.2181561,down5,8,38,
22,36.06046657,136.2220607,down5,8,38,
23,36.06215635,136.2235144,down5,8,38,
24,36.06622689,136.2287961,down5,8,36,
25,36.07190789,136.2329936,down5,8,36,
26,36.08208533,136.2370934,down5,8,35,
27,36.09186705,136.244024,down5,8,35,
28,36.10259398,136.2450978,down5,8,34,
29,36.10961302,136.2446097,down5,8,34,
30,36.11978558,136.2442193,down5,8,33,
31,36.12554155,136.2450002,down5,8,33,
32,36.1353967,136.2489048,down5,8,33,
33,36.15037415,136.2528094,down5,8,32,
34,36.16314214,136.250369,down5,8,31,
35,36.17858705,136.2451954,down5,8,30,
36,36.1894597,136.2416813,down5,8,30,
37,36.20513572,136.2361172,down5,8,29,
38,36.21466584,136.2348483,down5,8,29,
39,36.22513975,136.235922,down5,8,27,
40,36.25497877,136.252907,down5,8,25,
41,36.2996766,136.3170399,down5,8,22,
42,36.31713957,136.3385152,down5,8,21,
43,36.32083619,136.3508146,down5,8,21,
44,36.32382481,136.3657497,down5,8,19,
45,36.32421804,136.3843941,down5,8,18,
46,36.32799296,136.4002077,down5,8,17,
47,36.33860895,136.4188521,down5,8,16,
48,36.35228964,136.4327134,down5,8,15,
49,36.37147,136.4419868,down5,8,14,
50,36.38349462,136.4493079,down5,8,14,
